2,25291,18,0
4,24841,14,0
8,24841,16,0
16,23431,20,1
32,21710,19,1
64,20910,24,5
96,27986,11,0
104,26427,21,0
106,24455,13,0
107,32355,22,2
128,30668,15,0
256,21312,22,1
512,26542,17,0
